label,probab,sentence,time,verbs
1,0.9984548091888430,We can definitely take crm into the equation later on and start with Quickbooks.,"[['later', 'on']]",['take']
0,0.9982921481132510,I don't think we do that right now though.,"[['right', 'now']]",['do']
1,0.9981290698051450,"You know, she asked me follow up on Monday.","[['on', 'Monday']]",['follow']
1,0.9981039762496950,"If you're ten to twenty percent less, you know, am I getting anything less these are the questions we'll last when we get to that point.","[['when', 'we', 'get', 'to', 'that', 'point'], ['when']]","['last', 'get']"
1,0.9978067278862,"But my next step would be to just checking with her after, like, say, thanksgiving to","[['after', ',', 'like', ',', 'say', ',', 'thanksgiving', 'to']]",['checking']
1,0.9977546334266660,We'll have to figure out what where Don is done in San Francisco next week.,"[['next', 'week']]",['done']
1,0.9976068735122680,"it's not good well, We're gonna make it to that later.",[['later']],['make']
1,0.9975358247756960,"And inbound R's, they still need to reach out to those who have left their data on our website for the for the purpose of booking demo and introduction call.",[['still']],['need']
1,0.9973172545433040,So I've gotta go in and kinda listen to sometimes and back in make sure I've got the right notes.,[['sometimes']],['listen']
1,0.9971490502357480,and then you gotta get to work.,[['then']],['got']
1,0.9971298575401310,"It's gonna suggest the timeline when to chase them and not to let them cool off so very, very good solution","[['the', 'timeline', 'when']]",['chase']
0,0.9970628619194030,"Yeah, and then try to reconnect.",[['then']],['try']
1,0.9970288872718810,We'll send you guys some mosaic ones the next time we can all be twins.,"[['the', 'next', 'time', 'we', 'can', 'all', 'be', 'twins'], ['the', 'next', 'time']]","['send', 'be']"
1,0.9970070719718930,"And inbound Sc sdr, they still need to reach out to those who have left their data on our website for the for the purpose of booking demo and introduction call.",[['still']],['need']
1,0.9969695210456850,I will send the invite then.,[['then']],['send']
1,0.996916651725769,Working through some month and closed stuff so I should have a better update for that one.,"[['through', 'some', 'month']]",['Working']
1,0.9967939257621770,"I think we're tackling like full on currency conversion end of next year, like or, like, q three q four next year, because it actually has a couple times where people want to, like, do their op in, like multiple currencies.",[['where']],['do']
1,0.9967459440231320,"She just said, hey, I've got my hands full from coming after.",[['after']],['coming']
1,0.9967302083969120,"And inbound Sdr, they still need to reach out to those who have left their data on our website for the for the purpose of booking demo and introduction call.",[['still']],['need']
1,0.9966740608215330,He's in the UK or I'd Ping him again but.,[['again']],['Ping']
1,0.9965720176696780,"Are, you know, Prospecting Emailing and Calling contacts to schedule.","[['to', 'schedule']]",['Calling']
1,0.9965463280677800,"So we'll critique that a little bit, and then we'll dive into.",[['then']],['dive']
1,0.9964264035224920,"it's not good, well, we're gonna make it a lot later.","[['a', 'lot', 'later']]",['make']
1,0.996390163898468,Off we just make up for them early next week.,"[['early', 'next', 'week']]",['make']
1,0.9962170720100400,"I don't you know, let let me let me look at two and then see which one I like more.",[['then']],['see']
1,0.9962133765220640,I'm down get up early for.,[['early']],['get']
1,0.9961387515068050,"You know, six more people or so being hired early December, and however many in January, and I anticipate, there's going to be some change.","[['early', 'December']]",['hired']
1,0.9960218071937560,But definitely want to get pricing sorted out first if I'm gonna do that.,[['first']],['sorted']
1,0.9960088729858400,You gotta find some time next week.,"[['next', 'week']]",['find']
1,0.9959306120872500,"And and then coming back, you know, and saying, like, the value of the of the product and everything.","[['then'], ['then']]","['coming', 'saying']"
1,0.9959132075309750,"I, and then also doing, like for, like, planning purposes",[['then']],['doing']
1,0.9958071708679200,And then I need to add her to whatever.,[['then']],['need']
1,0.9957589507102970,I'm doing some demos on Friday.,"[['on', 'Friday']]",['doing']
0,0.9957036375999450, See then.,[['then']],['See']
0,0.9957036375999450, See then.,[['then']],['See']
1,0.9956444501876830,"If you wanna dial back in, that way I can just get dealer to speed here and then...","[['here', 'and', 'then']]",['get']
1,0.9956411123275760,"But me When I have a follow of task with Clara, this tells me that I need to follow up with her to get that next demo.","[['When'], ['When', 'I', 'have', 'a', 'follow', 'of', 'task', 'with', 'Clara']]","['have', 'tells']"
1,0.9955722093582150,And then and I'll caveat out in the path to,[['then']],['caveat']
1,0.9955496788024900,I have a call with him tomorrow.,[['tomorrow']],['have']
1,0.9955419898033140,"So we'll get feedback, and then we'll send it back to you guys.",[['then']],['send']
1,0.9955112934112550,"So I'm gonna turn that off, but it's still joining my client meeting today.","[['still', 'today']]",['joining']
1,0.9955112934112550,"So I'm gonna turn that off, but it's still joining my client meeting today.","[['still', 'today']]",['joining']
1,0.9954662322998050,"I mean, we still do tomorrow.",[['still']],['do']
1,0.9954118132591250,"Only because, like, we're supposed to go out and fund raise starting in, like, January, like, January early February, you know, to hopefully get some you know, our series b funding we're we're thinking in, like May or June.","[['starting', 'in', ',', 'like', ',', 'January', ',', 'like', ',', 'January', 'early', 'February'], ['starting', 'in', ',', 'like', ',', 'January', ',', 'like', ',', 'January', 'early', 'February', ','], ['in', ',', 'like', ',', 'January', ',', 'like', ',', 'January', 'early', 'February', ','], ['in', ',', 'like']]","['go', 'raise', 'starting', 'thinking']"
1,0.9954028129577640,"Evan, feel free to collect your thoughts and we'll dive in when you're ready.","[['when', 'you', ""'re"", 'ready'], ['when']]","['dive', ""'re""]"
1,0.9953398704528810,"So I'm gonna shoot up our loom to you guys, and then we can make it crisp.",[['then']],['make']
1,0.995284378528595,They'll be using it for years.,"[['for', 'years']]",['using']
1,0.9952695965766910,So sales ai when I activate this is gonna join my meetings.,"[['when', 'I', 'activate', 'this'], ['when']]","['ai', 'activate']"
1,0.9952598214149480,I'll see tomorrow.,[['tomorrow']],['see']
0,0.9951382875442510,And then I guess now they're suing them.,"[['then'], ['now']]","['guess', 'suing']"
1,0.9951285123825070,"All right, well, let me keep you posted once we have something up.","[['once', 'we', 'have', 'something', 'up']]",['keep']
1,0.9951210618019100,"Haven't thought through it yet, but something that has guidance to what they're actually gonna do.",[['yet']],['thought']
1,0.9951103329658510,"Leaandra, I I'm just gonna chat with Cassie after this, and we're gonna Can we just email you, but we'll set up something next week.","[['after', 'this'], ['next', 'week']]","['chat', 'set']"
1,0.9950869679450990,I have another meeting moving him at that time that I'm gonna move so he's he will.,"[['at', 'that', 'time', 'that', 'I', ""'m"", 'gon', 'na', 'move', 'so', 'he', ""'s"", 'he', 'will']]",['have']
1,0.9950692653656010,Could I do that and then flip it between local currency seal consolidate that dollar could like deli,[['then']],['flip']
1,0.9950562715530400,But but my solutions engineer who I bring on to be call for the next time.,"[['for', 'the', 'next', 'time']]",['call']
0,0.9950416684150700,And then to do the...,[['then']],['do']
1,0.9950292706489560,So we don't integrate to the photo right now all to build up own data that we that we integrate with.,"[['right', 'now']]",['integrate']
1,0.9950039982795720,I'll text you when I or I'll email you when I get it sent through Doc design.,"[['when', 'I', 'or', 'I', ""'ll"", 'email', 'you', 'when', 'I', 'get', 'it', 'sent', 'through', 'Doc', 'design'], ['when', 'when', 'I', 'get', 'it', 'sent', 'through', 'Doc', 'design'], ['when']]","['text', 'email', 'get']"
1,0.9950012564659120,"I mean, we're gonna cut out all that manual work and essentially rate all your different sources into one, then also automated that way you're not living on a spreadsheet.",[['then']],['automated']
1,0.9949900507926940,So we connect to your calendar during to your sales meetings.,[['during']],['connect']
1,0.9949575066566470,"And that's how I'm planning on doing Black Friday, Cyber Monday, again.","[['Friday', ',', 'Cyber', 'Monday', ',', 'again']]",['doing']
1,0.9948768019676210,"I'll start the cycle again, so by the end of the next four months will still be okay.","[['again'], ['by', 'the', 'still']]","['start', 'be']"
1,0.9948670864105230,"And when somebody mentioned something, I have to go back and listen and try to figure out what they actually said.",[['when']],['mentioned']
1,0.9948455095291140,Call recording again.,[['again']],['Call']
1,0.9948009252548220,"Although next week, you gotta be careful too.","[['next', 'week']]",['got']
1,0.9947856068611150,"And actually pull up, and then we'll pull it through.",[['then']],['pull']
1,0.9947572946548460,"But he opened the email with the time several times, hasn't clicked the time to meet yet.","[['several', 'times'], ['yet'], ['the', 'time']]","['opened', 'clicked', 'meet']"
1,0.9947205781936650,We recommend the app so that that thing that it just showed you pops up.,[['just']],['showed']
1,0.99471515417099,So I could do time on Thursday.,"[['on', 'Thursday']]",['do']
1,0.9946435689926150,So it's for outbound reach towards prospects you're are already speaking with.,[['already']],['speaking']
1,0.9945388436317440,"We'll like to start building tooling for remote teams, and now we're actually looking into.",[['now']],['looking']
1,0.9944920539855960,And then coach around that.,[['then']],['coach']
1,0.9944809675216680,"I'll listen to music, but I'll be making calls, and so it goes back and forth between my music and the phone call while it's ringing.","[['while', 'it', ""'s"", 'ringing']]",['goes']
